-2.0, 2.0, -3.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 691221
-2.0, 2.0, -3.0; 617178
-3.0, 2.0, -3.0; 93782
-3.0, -3.0, -2.0; 27185
-3.0, 2.0, -2.0; 16049
-3.0, -4.0, -1.0; 14350
-2.0, -4.0, -1.0; 7060
-2.0, 3.0, 0.0; 5471
-2.0, 3.0, -1.0; 5272
-2.0, -2.0, -1.0; 3185
-4.0, 2.0, -2.0; 2847
-3.0, 2.0, -1.0; 1702
-1.0, 3.0, -1.0; 1504
-1.0, -4.0, -2.0; 1447

-1.0, 3.0, -1.0; -3.0, -3.0, -1.0
-2.0, -4.0, -1.0; 36678
-3.0, -3.0, -1.0; 25269
-2.0, 3.0, -1.0; 24138
-2.0, 2.0, -3.0; 20210
-2.0, 3.0, 0.0; 15703
-3.0, -4.0, -1.0; 14028
-3.0, 2.0, -3.0; 9212
-1.0, 3.0, -1.0; 6038
-3.0, 3.0, 0.0; 3610
-1.0, -4.0, -2.0; 3547
-3.0, 2.0, -2.0; 2886
-3.0, 2.0, -1.0; 2128
-1.0, -4.0, -1.0; 1906
-2.0, -3.0, -3.0; 1902

-2.0, 3.0, -1.0; -1.0, -4.0, -2.0
-3.0, -3.0, -1.0; 2811
-1.0, 3.0, -1.0; 2270
-2.0, -4.0, -1.0; 2025

-2.0, 2.0, -3.0; -3.0, -4.0, -1.0
-3.0, -3.0, -1.0; 56823
-3.0, 2.0, -2.0; 27099
-2.0, 2.0, -3.0; 19938
-3.0, 2.0, -3.0; 14413
-3.0, -4.0, -1.0; 7483
-3.0, -3.0, -2.0; 4654
-2.0, -4.0, -1.0; 3684
-2.0, 3.0, 0.0; 3131
-2.0, 3.0, -1.0; 3069
-3.0, 2.0, -1.0; 2522
-1.0, 3.0, -1.0; 1747

-3.0, 3.0, 0.0; -2.0, -3.0, -3.0
-2.0, -4.0, -1.0; 1610
-3.0, 2.0, -1.0; 1534

-2.0, 2.0, -3.0; -3.0, -3.0, -2.0
-2.0, 2.0, -3.0; 18741
-3.0, -3.0, -1.0; 17002
-3.0, -3.0, -2.0; 1809

-3.0, 3.0, 0.0; -2.0, -4.0, -1.0
-3.0, -3.0, -1.0; 10726
-3.0, -4.0, -1.0; 9951
-2.0, 3.0, 0.0; 8840
-2.0, 3.0, -1.0; 7360
-2.0, -4.0, -1.0; 7186
-1.0, 3.0, -1.0; 4454
-3.0, 2.0, -2.0; 2429
-3.0, 3.0, 0.0; 1386

-3.0, 2.0, -3.0; -3.0, -4.0, -1.0
-3.0, -3.0, -1.0; 40337
-3.0, 2.0, -2.0; 23082
-3.0, 2.0, -3.0; 8705
-2.0, 2.0, -3.0; 7364
-3.0, -4.0, -1.0; 6787
-2.0, 3.0, -1.0; 3894
