-2.0, 2.0, -3.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 208159
-2.0, 2.0, -3.0; 182205
-3.0, 2.0, -3.0; 31395
-3.0, -3.0, -2.0; 9477
-3.0, 2.0, -2.0; 6407
-3.0, -4.0, -1.0; 6002
-2.0, -4.0, -1.0; 3190
-2.0, 3.0, 0.0; 3154
-2.0, 3.0, -1.0; 3063

-1.0, 3.0, -1.0; -3.0, -3.0, -1.0
-2.0, -4.0, -1.0; 19581
-3.0, -3.0, -1.0; 15119
-2.0, 3.0, -1.0; 14139
-2.0, 2.0, -3.0; 10374
-2.0, 3.0, 0.0; 8908
-3.0, -4.0, -1.0; 7936
-3.0, 2.0, -3.0; 5232
-1.0, 3.0, -1.0; 3618
-3.0, 3.0, 0.0; 1971
-1.0, -4.0, -2.0; 1958
-3.0, 2.0, -2.0; 1719

-2.0, 3.0, -1.0; -1.0, -4.0, -2.0
-3.0, -3.0, -1.0; 1825

-2.0, 2.0, -3.0; -3.0, -4.0, -1.0
-3.0, -3.0, -1.0; 24322
-3.0, 2.0, -2.0; 12431
-2.0, 2.0, -3.0; 7310
-3.0, 2.0, -3.0; 6016
-3.0, -4.0, -1.0; 3556
-3.0, -3.0, -2.0; 2258
-2.0, -4.0, -1.0; 1902
-2.0, 3.0, 0.0; 1863
-2.0, 3.0, -1.0; 1812
-3.0, 2.0, -1.0; 1353

-2.0, 2.0, -3.0; -3.0, -3.0, -2.0
-2.0, 2.0, -3.0; 6075
-3.0, -3.0, -1.0; 5506

-3.0, 3.0, 0.0; -2.0, -4.0, -1.0
-3.0, -3.0, -1.0; 5416
-3.0, -4.0, -1.0; 4607
-2.0, 3.0, 0.0; 3966
-2.0, 3.0, -1.0; 3533
-2.0, -4.0, -1.0; 3443
-1.0, 3.0, -1.0; 2185
-3.0, 2.0, -2.0; 1431

-3.0, 2.0, -3.0; -3.0, -4.0, -1.0
-3.0, -3.0, -1.0; 18537
-3.0, 2.0, -2.0; 10482
-3.0, 2.0, -3.0; 3966
-3.0, -4.0, -1.0; 3574
-2.0, 2.0, -3.0; 3153
-2.0, 3.0, -1.0; 2278
-2.0, 3.0, 0.0; 2072

-1.0, 3.0, -1.0; -3.0, -4.0, -1.0
-2.0, -4.0, -1.0; 9051
-2.0, 3.0, -1.0; 4990
-2.0, 3.0, 0.0; 4113
-3.0, -3.0, -1.0; 2936
-3.0, -4.0, -1.0; 2227
-3.0, 2.0, -2.0; 2012
-1.0, 3.0, -1.0; 1547

-3.0, 3.0, 0.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 4591
-3.0, -4.0, -1.0; 3286
-2.0, -4.0, -1.0; 3090
-2.0, 2.0, -3.0; 2932
-2.0, 3.0, 0.0; 2366
-2.0, 3.0, -1.0; 2221
-3.0, 2.0, -3.0; 1494

-2.0, 3.0, -1.0; -3.0, -3.0, -2.0
-3.0, -3.0, -1.0; 2595
-2.0, 2.0, -3.0; 1736

-2.0, 3.0, 0.0; -3.0, -3.0, -2.0
-3.0, -3.0, -1.0; 1400

-2.0, 3.0, 0.0; -3.0, -4.0, -1.0
-3.0, -3.0, -1.0; 16236
-2.0, -4.0, -1.0; 15876
-2.0, 3.0, 0.0; 14910
-3.0, -4.0, -1.0; 11701
-2.0, 3.0, -1.0; 10218
-3.0, 3.0, 0.0; 5015
-2.0, 2.0, -3.0; 3081
-1.0, 3.0, -1.0; 2959
-3.0, 2.0, -1.0; 2366
-3.0, 2.0, -2.0; 2173
-3.0, 2.0, -3.0; 2013
-3.0, 3.0, -1.0; 1475

-3.0, 2.0, -2.0; -1.0, -4.0, -3.0
-3.0, 2.0, -2.0; 2051

-3.0, 2.0, -1.0; -2.0, -4.0, -1.0
-2.0, 3.0, -1.0; 4626
-3.0, -3.0, -1.0; 4125
-2.0, -3.0, -3.0; 3801
-3.0, -4.0, -1.0; 3438
-1.0, 3.0, -1.0; 2977
-2.0, -4.0, -1.0; 2504
-2.0, 3.0, 0.0; 2366
-3.0, 2.0, -2.0; 1768

-3.0, 3.0, 0.0; -3.0, -4.0, -1.0
-3.0, -3.0, -1.0; 4160
-3.0, -4.0, -1.0; 3571
-2.0, 3.0, 0.0; 2897
-2.0, -4.0, -1.0; 2414
-2.0, 3.0, -1.0; 1660

-3.0, 2.0, -3.0; -3.0, -3.0, -2.0
-2.0, 2.0, -3.0; 1660
-3.0, -3.0, -1.0; 1532

-2.0, 3.0, 0.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 22192
-2.0, -4.0, -1.0; 17293
-2.0, 3.0, 0.0; 14426
-2.0, 3.0, -1.0; 13698
-3.0, -4.0, -1.0; 12262
-2.0, 2.0, -3.0; 8861
-3.0, 3.0, 0.0; 4512
-3.0, 2.0, -3.0; 3671
-1.0, 3.0, -1.0; 3446
-3.0, 2.0, -1.0; 2324
-3.0, 3.0, -1.0; 1474

-2.0, 3.0, -1.0; -2.0, -4.0, -1.0
-2.0, -4.0, -1.0; 29652
-2.0, 3.0, -1.0; 24127
-3.0, -3.0, -1.0; 21459
-2.0, 3.0, 0.0; 16915
-1.0, 3.0, -1.0; 12432
-3.0, -4.0, -1.0; 12040
-3.0, 2.0, -2.0; 3008
-3.0, 3.0, 0.0; 2459
-3.0, 2.0, -1.0; 1986

-1.0, 3.0, -2.0; -3.0, -3.0, -1.0
-2.0, -3.0, -3.0; 1836

-1.0, 3.0, -2.0; -3.0, -4.0, -1.0
-2.0, -3.0, -3.0; 2144
-3.0, 2.0, -2.0; 1779

-3.0, 2.0, -2.0; -1.0, -4.0, -2.0
-3.0, 2.0, -2.0; 3039
-3.0, -4.0, -1.0; 2559

-3.0, 3.0, -1.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 2967
-2.0, -4.0, -1.0; 2533
-3.0, -4.0, -1.0; 2470
-2.0, 3.0, -1.0; 1959
-2.0, 2.0, -3.0; 1795
-2.0, 3.0, 0.0; 1444
-3.0, 2.0, -3.0; 1361

-3.0, 2.0, -1.0; -3.0, -4.0, -1.0
-2.0, -4.0, -1.0; 2477
-3.0, -3.0, -1.0; 2418
-2.0, -3.0, -3.0; 2310
-3.0, -4.0, -1.0; 2025
-2.0, 3.0, -1.0; 1854
-2.0, 3.0, 0.0; 1639

-3.0, 2.0, -1.0; -3.0, -3.0, -1.0
-2.0, -4.0, -1.0; 8698
-2.0, 2.0, -3.0; 5988
-2.0, 3.0, -1.0; 5408
-2.0, -3.0, -3.0; 4783
-2.0, 3.0, 0.0; 4156
-3.0, -3.0, -1.0; 4135
-3.0, -4.0, -1.0; 3985
-3.0, 2.0, -3.0; 2888
-1.0, 3.0, -1.0; 1711

-2.0, 3.0, -1.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 53522
-2.0, -4.0, -1.0; 36725
-2.0, 3.0, -1.0; 35992
-2.0, 3.0, 0.0; 24315
-2.0, 2.0, -3.0; 20143
-3.0, -4.0, -1.0; 17019
-3.0, 2.0, -3.0; 9583
-1.0, 3.0, -1.0; 8889
-3.0, 3.0, 0.0; 4597
-3.0, 2.0, -1.0; 3034
-3.0, 2.0, -2.0; 2586
-3.0, -3.0, -2.0; 1867
-3.0, 3.0, -1.0; 1646

-1.0, 3.0, -1.0; -2.0, -4.0, -1.0
-2.0, -4.0, -1.0; 14944
-2.0, 3.0, -1.0; 10717
-2.0, 3.0, 0.0; 5687
-1.0, 3.0, -1.0; 4870
-3.0, -3.0, -1.0; 3460
-3.0, -4.0, -1.0; 3204
-3.0, 2.0, -2.0; 1666
-1.0, -4.0, -1.0; 1503
-1.0, -4.0, -2.0; 1470

-2.0, 2.0, -3.0; -2.0, -4.0, -1.0
-3.0, -3.0, -1.0; 21463
-3.0, -4.0, -1.0; 9540
-2.0, 3.0, -1.0; 8259
-3.0, 2.0, -2.0; 8133
-1.0, 3.0, -1.0; 5701
-2.0, -4.0, -1.0; 5105
-2.0, 3.0, 0.0; 4874
-2.0, 2.0, -3.0; 3627
-3.0, 2.0, -1.0; 3300
-3.0, 2.0, -3.0; 2593

-2.0, 3.0, -1.0; -3.0, -4.0, -1.0
-2.0, -4.0, -1.0; 15438
-3.0, -3.0, -1.0; 13501
-2.0, 3.0, 0.0; 10577
-2.0, 3.0, -1.0; 8979
-3.0, -4.0, -1.0; 6418
-3.0, 2.0, -2.0; 3331
-3.0, 3.0, 0.0; 3018
-1.0, 3.0, -1.0; 2950
-2.0, 2.0, -3.0; 2101
-3.0, 2.0, -3.0; 2055
-3.0, 2.0, -1.0; 1831

-3.0, 2.0, -2.0; -2.0, -3.0, -3.0
-3.0, 2.0, -2.0; 6751
-3.0, -4.0, -1.0; 5193
-3.0, 2.0, -1.0; 3586
-2.0, -4.0, -1.0; 3124
-3.0, -3.0, -1.0; 1879
-2.0, -3.0, -3.0; 1464

-2.0, 2.0, -3.0; -2.0, -3.0, -3.0
-3.0, -3.0, -1.0; 1732
-3.0, 2.0, -2.0; 1565

-2.0, 3.0, 0.0; -2.0, -4.0, -1.0
-3.0, -3.0, -1.0; 23847
-2.0, -4.0, -1.0; 21903
-2.0, 3.0, -1.0; 20849
-2.0, 3.0, 0.0; 18582
-3.0, -4.0, -1.0; 16423
-1.0, 3.0, -1.0; 10166
-3.0, 3.0, 0.0; 3505
-3.0, 2.0, -2.0; 3208
-3.0, 2.0, -1.0; 2480
-2.0, 2.0, -3.0; 1587
-3.0, 2.0, -3.0; 1504

-3.0, 2.0, -2.0; -3.0, -3.0, -1.0
-2.0, 3.0, -1.0; 15799
-3.0, -4.0, -1.0; 15772
-2.0, -4.0, -1.0; 12001
-2.0, 3.0, 0.0; 11269
-2.0, 2.0, -3.0; 10699
-3.0, -3.0, -1.0; 8189
-2.0, -3.0, -3.0; 8134
-3.0, 2.0, -3.0; 6338
-1.0, -4.0, -2.0; 4380
-1.0, 3.0, -1.0; 3568
-3.0, 2.0, -2.0; 2546
-1.0, -4.0, -3.0; 2315
-2.0, -4.0, -3.0; 1658
-3.0, 2.0, -1.0; 1581
-3.0, 3.0, 0.0; 1487

-1.0, 3.0, -1.0; -2.0, -3.0, -3.0
-2.0, -4.0, -1.0; 1693

-3.0, 2.0, -2.0; -2.0, -4.0, -1.0
-2.0, 3.0, -1.0; 9177
-3.0, -4.0, -1.0; 8530
-2.0, -4.0, -1.0; 8196
-1.0, 3.0, -1.0; 5717
-2.0, -3.0, -3.0; 5651
-2.0, 3.0, 0.0; 4704
-3.0, 2.0, -2.0; 4329
-3.0, -3.0, -1.0; 3806
-3.0, 2.0, -1.0; 2304
-2.0, 2.0, -3.0; 1776
-1.0, -4.0, -2.0; 1575

-2.0, 3.0, 0.0; -1.0, -4.0, -2.0
-3.0, -3.0, -1.0; 2830
-3.0, 2.0, -3.0; 1523

-3.0, 2.0, -3.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 38999
-2.0, 2.0, -3.0; 23752
-3.0, 2.0, -3.0; 11435
-3.0, -4.0, -1.0; 6443
-2.0, 3.0, -1.0; 4809
-2.0, 3.0, 0.0; 4197
-3.0, 2.0, -2.0; 4121
-2.0, -4.0, -1.0; 2074
-1.0, -4.0, -2.0; 1990

-3.0, 2.0, -3.0; -2.0, -3.0, -3.0
-3.0, 2.0, -2.0; 2568
-3.0, -3.0, -1.0; 2237
-3.0, -4.0, -1.0; 1907
-3.0, 2.0, -1.0; 1658

-2.0, 3.0, 0.0; -2.0, -3.0, -3.0
-3.0, 2.0, -2.0; 4259
-3.0, -3.0, -1.0; 4257
-3.0, 2.0, -1.0; 2370
-2.0, -4.0, -1.0; 2121

-3.0, 2.0, -3.0; -2.0, -4.0, -1.0
-3.0, -3.0, -1.0; 11517
-3.0, -4.0, -1.0; 6778
-2.0, 3.0, -1.0; 6256
-3.0, 2.0, -2.0; 4553
-2.0, -4.0, -1.0; 3883
-1.0, 3.0, -1.0; 3702
-2.0, 3.0, 0.0; 3048
-3.0, 2.0, -1.0; 2089
-2.0, 2.0, -3.0; 1832

-2.0, 3.0, -1.0; -2.0, -3.0, -3.0
-3.0, -3.0, -1.0; 2882
-3.0, 2.0, -2.0; 2403
-2.0, -4.0, -1.0; 1847
-3.0, 2.0, -1.0; 1787

-3.0, 2.0, -2.0; -3.0, -4.0, -1.0
-3.0, -4.0, -1.0; 6227
-2.0, 3.0, -1.0; 5784
-2.0, -3.0, -3.0; 5153
-3.0, -3.0, -1.0; 4701
-2.0, 3.0, 0.0; 4434
-3.0, 2.0, -2.0; 4315
-2.0, -4.0, -1.0; 3890
-1.0, 3.0, -1.0; 2881
-3.0, 2.0, -3.0; 2155
-2.0, 2.0, -3.0; 1901
-1.0, -4.0, -2.0; 1556

-1.0, 3.0, -1.0; -3.0, -3.0, -2.0
-3.0, -3.0, -1.0; 1804
-2.0, 2.0, -3.0; 1498
-2.0, -4.0, -1.0; 1378

