-2.0, 2.0, -3.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 424054
-2.0, 2.0, -3.0; 387231
-3.0, 2.0, -3.0; 50424
-3.0, -3.0, -2.0; 14698
-3.0, 2.0, -2.0; 6641
-3.0, -4.0, -1.0; 6608
-2.0, -4.0, -1.0; 2914
-2.0, -2.0, -1.0; 2037
-4.0, 2.0, -2.0; 1869
-2.0, 3.0, 0.0; 1426
-2.0, 3.0, -1.0; 1373

-1.0, 3.0, -1.0; -3.0, -3.0, -1.0
-2.0, 2.0, -3.0; 5974
-2.0, -4.0, -1.0; 5940
-3.0, -3.0, -1.0; 5097
-2.0, 3.0, -1.0; 3447
-3.0, -4.0, -1.0; 2823
-2.0, 3.0, 0.0; 2114
-3.0, 2.0, -3.0; 1747

-2.0, 2.0, -3.0; -3.0, -4.0, -1.0
-3.0, -3.0, -1.0; 24287
-2.0, 2.0, -3.0; 10520
-3.0, 2.0, -2.0; 10278
-3.0, 2.0, -3.0; 6281
-3.0, -4.0, -1.0; 2817
-3.0, -3.0, -2.0; 1640

-2.0, 2.0, -3.0; -3.0, -3.0, -2.0
-2.0, 2.0, -3.0; 11098
-3.0, -3.0, -1.0; 10085

-3.0, 2.0, -3.0; -3.0, -4.0, -1.0
-3.0, -3.0, -1.0; 13253
-3.0, 2.0, -2.0; 7350
-2.0, 2.0, -3.0; 3145
-3.0, 2.0, -3.0; 2876
-3.0, -4.0, -1.0; 1884

-1.0, 3.0, -1.0; -3.0, -4.0, -1.0
-2.0, -4.0, -1.0; 2088

-3.0, 3.0, 0.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 1612
-2.0, 2.0, -3.0; 1528

-2.0, 3.0, 0.0; -3.0, -4.0, -1.0
-3.0, -3.0, -1.0; 3888
-2.0, -4.0, -1.0; 3635
-2.0, 3.0, 0.0; 3164
-3.0, -4.0, -1.0; 2715
-2.0, 3.0, -1.0; 2269

-3.0, 2.0, -1.0; -2.0, -4.0, -1.0
-2.0, 3.0, -1.0; 1553
-2.0, -3.0, -3.0; 1549

-3.0, 2.0, -3.0; -3.0, -3.0, -2.0
-2.0, 2.0, -3.0; 2246
-3.0, -3.0, -1.0; 2017

-2.0, 3.0, 0.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 7245
-2.0, -4.0, -1.0; 4680
-2.0, 2.0, -3.0; 4649
-3.0, -4.0, -1.0; 3460
-2.0, 3.0, 0.0; 3310
-2.0, 3.0, -1.0; 3292

-2.0, 3.0, -1.0; -2.0, -4.0, -1.0
-2.0, -4.0, -1.0; 6160
-2.0, 3.0, -1.0; 4888
-3.0, -3.0, -1.0; 4692
-2.0, 3.0, 0.0; 3444
-1.0, 3.0, -1.0; 2629
-3.0, -4.0, -1.0; 2580

-3.0, 2.0, -2.0; -1.0, -4.0, -2.0
-3.0, 2.0, -2.0; 2458
-3.0, -4.0, -1.0; 1605

-3.0, 2.0, -1.0; -3.0, -3.0, -1.0
-2.0, -4.0, -1.0; 4499
-2.0, 2.0, -3.0; 4330
-2.0, -3.0, -3.0; 2005
-3.0, -3.0, -1.0; 1899
-2.0, 3.0, -1.0; 1779
-3.0, -4.0, -1.0; 1731
-3.0, 2.0, -3.0; 1622

-2.0, 3.0, -1.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 17771
-2.0, 2.0, -3.0; 10830
-2.0, -4.0, -1.0; 10169
-2.0, 3.0, -1.0; 9012
-2.0, 3.0, 0.0; 5577
-3.0, -4.0, -1.0; 5065
-3.0, 2.0, -3.0; 3397
-1.0, 3.0, -1.0; 2303

-1.0, 3.0, -1.0; -2.0, -4.0, -1.0
-2.0, -4.0, -1.0; 3309
-2.0, 3.0, -1.0; 2248

-2.0, 2.0, -3.0; -2.0, -4.0, -1.0
-3.0, -3.0, -1.0; 12691
-3.0, -4.0, -1.0; 6342
-3.0, 2.0, -2.0; 6291
-2.0, 2.0, -3.0; 4535
-3.0, 2.0, -3.0; 2882
-2.0, -4.0, -1.0; 2609
-3.0, 2.0, -1.0; 2421
-2.0, 3.0, -1.0; 2300
-1.0, 3.0, -1.0; 1650
-2.0, 3.0, 0.0; 1418

-2.0, 3.0, -1.0; -3.0, -4.0, -1.0
-2.0, -4.0, -1.0; 3597
-3.0, -3.0, -1.0; 3243
-2.0, 3.0, 0.0; 2299
-2.0, 3.0, -1.0; 1895
-3.0, -4.0, -1.0; 1528

-3.0, 2.0, -2.0; -3.0, -4.0, -1.0
-3.0, -4.0, -1.0; 2668
-3.0, -3.0, -1.0; 2445
-2.0, -3.0, -3.0; 2307
-2.0, 3.0, -1.0; 2116
-3.0, 2.0, -2.0; 2031
-2.0, 3.0, 0.0; 1547
-2.0, -4.0, -1.0; 1504

-3.0, 2.0, -2.0; -2.0, -3.0, -3.0
-3.0, 2.0, -2.0; 4815
-3.0, -4.0, -1.0; 4139
-3.0, 2.0, -1.0; 2854
-2.0, -4.0, -1.0; 2093
-3.0, -3.0, -1.0; 1509

-3.0, 2.0, -2.0; -3.0, -3.0, -1.0
-2.0, 2.0, -3.0; 8719
-3.0, -4.0, -1.0; 8234
-2.0, -4.0, -1.0; 6158
-2.0, 3.0, -1.0; 6130
-3.0, -3.0, -1.0; 5221
-2.0, 3.0, 0.0; 4159
-3.0, 2.0, -3.0; 3730
-2.0, -3.0, -3.0; 3595
-1.0, -4.0, -2.0; 2128
-1.0, 3.0, -1.0; 1319

-3.0, 2.0, -2.0; -2.0, -4.0, -1.0
-3.0, -4.0, -1.0; 3155
-2.0, 3.0, -1.0; 2998
-2.0, -4.0, -1.0; 2873
-2.0, -3.0, -3.0; 2435
-3.0, 2.0, -2.0; 2169
-3.0, -3.0, -1.0; 1816
-1.0, 3.0, -1.0; 1800
-2.0, 3.0, 0.0; 1523

-2.0, 3.0, 0.0; -2.0, -4.0, -1.0
-3.0, -3.0, -1.0; 5601
-2.0, -4.0, -1.0; 4711
-2.0, 3.0, -1.0; 4444
-2.0, 3.0, 0.0; 3834
-3.0, -4.0, -1.0; 3514
-1.0, 3.0, -1.0; 2300

-3.0, 2.0, -3.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 52066
-2.0, 2.0, -3.0; 38681
-3.0, 2.0, -3.0; 12247
-3.0, -4.0, -1.0; 5113
-3.0, 2.0, -2.0; 3627
-2.0, 3.0, -1.0; 2054
-2.0, 3.0, 0.0; 1819
-2.0, -4.0, -1.0; 1525

-3.0, 2.0, -3.0; -2.0, -3.0, -3.0
-3.0, 2.0, -2.0; 1999
-3.0, -3.0, -1.0; 1622
-3.0, -4.0, -1.0; 1392

-3.0, 2.0, -3.0; -2.0, -4.0, -1.0
-3.0, -3.0, -1.0; 5762
-3.0, -4.0, -1.0; 2953
-3.0, 2.0, -2.0; 2950
-2.0, 3.0, -1.0; 1838
-2.0, -4.0, -1.0; 1675
-2.0, 2.0, -3.0; 1400

