-2.0, 2.0, -3.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 17794
-2.0, 2.0, -3.0; 14948
-3.0, 2.0, -3.0; 2998

-1.0, 3.0, -1.0; -3.0, -3.0, -1.0
-2.0, -4.0, -1.0; 5969
-2.0, 3.0, -1.0; 3348
-2.0, 3.0, 0.0; 2618
-3.0, -3.0, -1.0; 2238
-2.0, 2.0, -3.0; 1568
-3.0, -4.0, -1.0; 1516
-3.0, 2.0, -3.0; 1103

-2.0, 2.0, -3.0; -3.0, -4.0, -1.0
-3.0, -3.0, -1.0; 2736
-3.0, 2.0, -2.0; 1344

-3.0, 3.0, 0.0; -2.0, -4.0, -1.0
-3.0, -4.0, -1.0; 2136
-3.0, -3.0, -1.0; 2069
-2.0, 3.0, 0.0; 2035
-2.0, 3.0, -1.0; 1620
-2.0, -4.0, -1.0; 1474

-3.0, 2.0, -3.0; -3.0, -4.0, -1.0
-3.0, -3.0, -1.0; 2258
-3.0, 2.0, -2.0; 1310

-1.0, 3.0, -1.0; -3.0, -4.0, -1.0
-2.0, -4.0, -1.0; 3851
-2.0, 3.0, -1.0; 1972
-2.0, 3.0, 0.0; 1905

-3.0, 3.0, 0.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 1246

-2.0, 3.0, 0.0; -3.0, -4.0, -1.0
-2.0, -4.0, -1.0; 7941
-2.0, 3.0, 0.0; 7121
-3.0, -4.0, -1.0; 5152
-3.0, -3.0, -1.0; 4823
-2.0, 3.0, -1.0; 4365
-3.0, 3.0, 0.0; 2174

-3.0, 3.0, 0.0; -3.0, -4.0, -1.0
-3.0, -3.0, -1.0; 1474
-3.0, -4.0, -1.0; 1407
-2.0, 3.0, 0.0; 1331

-2.0, 3.0, 0.0; -3.0, -3.0, -1.0
-2.0, -4.0, -1.0; 6900
-2.0, 3.0, 0.0; 4994
-3.0, -3.0, -1.0; 4547
-3.0, -4.0, -1.0; 3764
-2.0, 3.0, -1.0; 3741
-3.0, 3.0, 0.0; 1906
-2.0, 2.0, -3.0; 1739

-2.0, 3.0, -1.0; -2.0, -4.0, -1.0
-2.0, -4.0, -1.0; 17356
-2.0, 3.0, -1.0; 12580
-2.0, 3.0, 0.0; 8703
-3.0, -3.0, -1.0; 6570
-3.0, -4.0, -1.0; 6484
-1.0, 3.0, -1.0; 6001

-3.0, 2.0, -1.0; -3.0, -3.0, -1.0
-2.0, -4.0, -1.0; 1253

-2.0, 3.0, -1.0; -3.0, -3.0, -1.0
-2.0, -4.0, -1.0; 11567
-3.0, -3.0, -1.0; 8362
-2.0, 3.0, -1.0; 7649
-2.0, 3.0, 0.0; 6737
-3.0, -4.0, -1.0; 4007
-2.0, 2.0, -3.0; 3164
-3.0, 3.0, 0.0; 1642
-3.0, 2.0, -3.0; 1639
-1.0, 3.0, -1.0; 1631

-2.0, 3.0, 0.0; -2.0, -4.0, -1.0
-2.0, -4.0, -1.0; 12020
-2.0, 3.0, -1.0; 10320
-2.0, 3.0, 0.0; 9521
-3.0, -4.0, -1.0; 8569
-3.0, -3.0, -1.0; 8076
-1.0, 3.0, -1.0; 4332
-3.0, 3.0, 0.0; 1501

-1.0, 3.0, -1.0; -2.0, -4.0, -1.0
-2.0, -4.0, -1.0; 7538
-2.0, 3.0, -1.0; 4897
-2.0, 3.0, 0.0; 2785
-1.0, 3.0, -1.0; 1999

-2.0, 2.0, -3.0; -2.0, -4.0, -1.0
-3.0, -3.0, -1.0; 3540
-2.0, 3.0, -1.0; 2181
-3.0, -4.0, -1.0; 2083
-1.0, 3.0, -1.0; 1563
-2.0, -4.0, -1.0; 1204

-2.0, 3.0, -1.0; -3.0, -4.0, -1.0
-2.0, -4.0, -1.0; 7174
-2.0, 3.0, 0.0; 4743
-2.0, 3.0, -1.0; 3646
-3.0, -3.0, -1.0; 3080
-3.0, -4.0, -1.0; 2511
-3.0, 3.0, 0.0; 1298

-3.0, 2.0, -2.0; -3.0, -3.0, -1.0
-2.0, 3.0, -1.0; 1886
-3.0, -4.0, -1.0; 1657
-2.0, 3.0, 0.0; 1417
-2.0, -4.0, -1.0; 1173

-3.0, 2.0, -2.0; -2.0, -4.0, -1.0
-2.0, 3.0, -1.0; 1729
-2.0, -4.0, -1.0; 1473
-3.0, -4.0, -1.0; 1340
-1.0, 3.0, -1.0; 1103

-3.0, 2.0, -3.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 4055
-2.0, 2.0, -3.0; 2113
-3.0, 2.0, -3.0; 1331

-3.0, 2.0, -3.0; -2.0, -4.0, -1.0
-3.0, -3.0, -1.0; 1921
-2.0, 3.0, -1.0; 1377
-3.0, -4.0, -1.0; 1210

