-2.0, 2.0, -3.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 620338
-2.0, 2.0, -3.0; 568854
-3.0, 2.0, -3.0; 83705
-3.0, -3.0, -2.0; 23578
-3.0, 2.0, -2.0; 13491
-3.0, -4.0, -1.0; 12496
-2.0, -4.0, -1.0; 6016
-2.0, 3.0, 0.0; 4718
-2.0, 3.0, -1.0; 4537

-1.0, 3.0, -1.0; -3.0, -3.0, -1.0
-2.0, -4.0, -1.0; 30569
-3.0, -3.0, -1.0; 21191
-2.0, 3.0, -1.0; 20417
-2.0, 2.0, -3.0; 16796
-2.0, 3.0, 0.0; 13300
-3.0, -4.0, -1.0; 11585
-3.0, 2.0, -3.0; 7888
-1.0, 3.0, -1.0; 5127

-2.0, 2.0, -3.0; -3.0, -4.0, -1.0
-3.0, -3.0, -1.0; 51157
-3.0, 2.0, -2.0; 23174
-2.0, 2.0, -3.0; 17847
-3.0, 2.0, -3.0; 12767
-3.0, -4.0, -1.0; 6687

-2.0, 2.0, -3.0; -3.0, -3.0, -2.0
-2.0, 2.0, -3.0; 17057
-3.0, -3.0, -1.0; 15304

-3.0, 3.0, 0.0; -2.0, -4.0, -1.0
-3.0, -3.0, -1.0; 9001
-3.0, -4.0, -1.0; 8382
-2.0, 3.0, 0.0; 7409
-2.0, 3.0, -1.0; 6233
-2.0, -4.0, -1.0; 6034

-3.0, 2.0, -3.0; -3.0, -4.0, -1.0
-3.0, -3.0, -1.0; 35453
-3.0, 2.0, -2.0; 19256
-3.0, 2.0, -3.0; 7386
-2.0, 2.0, -3.0; 6529
-3.0, -4.0, -1.0; 5961

-1.0, 3.0, -1.0; -3.0, -4.0, -1.0
-2.0, -4.0, -1.0; 14811
-2.0, 3.0, -1.0; 7878
-2.0, 3.0, 0.0; 6826

-3.0, 3.0, 0.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 7406
-3.0, -4.0, -1.0; 5601
-2.0, -4.0, -1.0; 5079
-2.0, 2.0, -3.0; 4968

-2.0, 3.0, 0.0; -3.0, -4.0, -1.0
-2.0, -4.0, -1.0; 28419
-2.0, 3.0, 0.0; 26652
-3.0, -3.0, -1.0; 24888
-3.0, -4.0, -1.0; 20506
-2.0, 3.0, -1.0; 17332
-3.0, 3.0, 0.0; 8987
-2.0, 2.0, -3.0; 4957
-1.0, 3.0, -1.0; 4549

-3.0, 2.0, -1.0; -2.0, -4.0, -1.0
-2.0, 3.0, -1.0; 6768
-3.0, -3.0, -1.0; 6053
-2.0, -3.0, -3.0; 5827
-3.0, -4.0, -1.0; 5119
-1.0, 3.0, -1.0; 4376

-3.0, 3.0, 0.0; -3.0, -4.0, -1.0
-3.0, -3.0, -1.0; 6838
-3.0, -4.0, -1.0; 6402
-2.0, 3.0, 0.0; 5260
-2.0, -4.0, -1.0; 4222

-2.0, 3.0, 0.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 33121
-2.0, -4.0, -1.0; 29631
-2.0, 3.0, 0.0; 22854
-2.0, 3.0, -1.0; 20696
-3.0, -4.0, -1.0; 19774
-2.0, 2.0, -3.0; 14800
-3.0, 3.0, 0.0; 7790
-3.0, 2.0, -3.0; 5551
-1.0, 3.0, -1.0; 4909

-2.0, 3.0, -1.0; -2.0, -4.0, -1.0
-2.0, -4.0, -1.0; 53625
-2.0, 3.0, -1.0; 42428
-3.0, -3.0, -1.0; 31879
-2.0, 3.0, 0.0; 30046
-3.0, -4.0, -1.0; 21395
-1.0, 3.0, -1.0; 20863
-3.0, 2.0, -2.0; 4423
-3.0, 3.0, 0.0; 4237

-3.0, 2.0, -2.0; -1.0, -4.0, -2.0
-3.0, 2.0, -2.0; 5499
-3.0, -4.0, -1.0; 4634

-3.0, 3.0, -1.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 4577
-2.0, -4.0, -1.0; 4213

-3.0, 2.0, -1.0; -3.0, -3.0, -1.0
-2.0, -4.0, -1.0; 14061
-2.0, 2.0, -3.0; 10466
