-2.0, 2.0, -3.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 200528
-2.0, 2.0, -3.0; 175598
-3.0, 2.0, -3.0; 30077
-3.0, -3.0, -2.0; 9239
-3.0, 2.0, -2.0; 6272
-3.0, -4.0, -1.0; 5987

-1.0, 3.0, -1.0; -3.0, -3.0, -1.0
-2.0, -4.0, -1.0; 19673
-3.0, -3.0, -1.0; 15180
-2.0, 3.0, -1.0; 14186
-2.0, 2.0, -3.0; 10221
-2.0, 3.0, 0.0; 8837
-3.0, -4.0, -1.0; 7918
-3.0, 2.0, -3.0; 5400
-1.0, 3.0, -1.0; 3687

-2.0, 2.0, -3.0; -3.0, -4.0, -1.0
-3.0, -3.0, -1.0; 24302
-3.0, 2.0, -2.0; 12581
-2.0, 2.0, -3.0; 7132
-3.0, 2.0, -3.0; 6006
-3.0, -4.0, -1.0; 3616

-2.0, 2.0, -3.0; -3.0, -3.0, -2.0
-2.0, 2.0, -3.0; 5855
-3.0, -3.0, -1.0; 5309

-3.0, 3.0, 0.0; -2.0, -4.0, -1.0
-3.0, -3.0, -1.0; 5290
-3.0, -4.0, -1.0; 4509
-2.0, 3.0, 0.0; 3733

-3.0, 2.0, -3.0; -3.0, -4.0, -1.0
-3.0, -3.0, -1.0; 18659
-3.0, 2.0, -2.0; 10607
-3.0, 2.0, -3.0; 3918
-3.0, -4.0, -1.0; 3600

-1.0, 3.0, -1.0; -3.0, -4.0, -1.0
-2.0, -4.0, -1.0; 8937
-2.0, 3.0, -1.0; 4824
-2.0, 3.0, 0.0; 3966

-3.0, 3.0, 0.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 4701

-2.0, 3.0, 0.0; -3.0, -4.0, -1.0
-3.0, -3.0, -1.0; 16232
-2.0, -4.0, -1.0; 15329
-2.0, 3.0, 0.0; 14120
-3.0, -4.0, -1.0; 11261
-2.0, 3.0, -1.0; 9882
-3.0, 3.0, 0.0; 4738

-3.0, 2.0, -1.0; -2.0, -4.0, -1.0
-2.0, 3.0, -1.0; 4691
-3.0, -3.0, -1.0; 4210
-2.0, -3.0, -3.0; 3884

-3.0, 3.0, 0.0; -3.0, -4.0, -1.0
-3.0, -3.0, -1.0; 4221

-2.0, 3.0, 0.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 22549
-2.0, -4.0, -1.0; 17154
-2.0, 3.0, 0.0; 14127
-2.0, 3.0, -1.0; 13922
-3.0, -4.0, -1.0; 12278
-2.0, 2.0, -3.0; 8967
-3.0, 3.0, 0.0; 4358
-3.0, 2.0, -3.0; 3782

-2.0, 3.0, -1.0; -2.0, -4.0, -1.0
-2.0, -4.0, -1.0; 28525
-2.0, 3.0, -1.0; 23081
-3.0, -3.0, -1.0; 20881
-2.0, 3.0, 0.0; 15907
-1.0, 3.0, -1.0; 12033
-3.0, -4.0, -1.0; 11706

-3.0, 2.0, -1.0; -3.0, -3.0, -1.0
-2.0, -4.0, -1.0; 8980
-2.0, 2.0, -3.0; 5887
-2.0, 3.0, -1.0; 5647
-2.0, -3.0, -3.0; 4980
-2.0, 3.0, 0.0; 4284
-3.0, -3.0, -1.0; 4158
-3.0, -4.0, -1.0; 3935

-2.0, 3.0, -1.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 54268
-2.0, -4.0, -1.0; 36976
-2.0, 3.0, -1.0; 36303
-2.0, 3.0, 0.0; 24354
-2.0, 2.0, -3.0; 20033
-3.0, -4.0, -1.0; 17229
-3.0, 2.0, -3.0; 9902
-1.0, 3.0, -1.0; 9153
-3.0, 3.0, 0.0; 4519

-2.0, 3.0, 0.0; -2.0, -4.0, -1.0
-3.0, -3.0, -1.0; 23348
-2.0, -4.0, -1.0; 21197
-2.0, 3.0, -1.0; 20127
-2.0, 3.0, 0.0; 17531
-3.0, -4.0, -1.0; 15857
-1.0, 3.0, -1.0; 9814

-1.0, 3.0, -1.0; -2.0, -4.0, -1.0
-2.0, -4.0, -1.0; 14462
-2.0, 3.0, -1.0; 10280
-2.0, 3.0, 0.0; 5351
-1.0, 3.0, -1.0; 4756

-2.0, 2.0, -3.0; -2.0, -4.0, -1.0
-3.0, -3.0, -1.0; 21323
-3.0, -4.0, -1.0; 9272
-3.0, 2.0, -2.0; 8261
-2.0, 3.0, -1.0; 7978
-1.0, 3.0, -1.0; 5622
-2.0, -4.0, -1.0; 4981
-2.0, 3.0, 0.0; 4611
-2.0, 2.0, -3.0; 3610

-2.0, 3.0, -1.0; -3.0, -4.0, -1.0
-2.0, -4.0, -1.0; 15112
-3.0, -3.0, -1.0; 13482
-2.0, 3.0, 0.0; 10076
-2.0, 3.0, -1.0; 8630
-3.0, -4.0, -1.0; 6270

-3.0, 2.0, -2.0; -2.0, -3.0, -3.0
-3.0, 2.0, -2.0; 7311
-3.0, -4.0, -1.0; 5638
-3.0, 2.0, -1.0; 3989

-3.0, 2.0, -2.0; -3.0, -3.0, -1.0
-2.0, 3.0, -1.0; 16493
-3.0, -4.0, -1.0; 15922
-2.0, -4.0, -1.0; 12080
-2.0, 3.0, 0.0; 11673
-2.0, 2.0, -3.0; 10484
-2.0, -3.0, -3.0; 8432
-3.0, -3.0, -1.0; 8375
-3.0, 2.0, -3.0; 6438
-1.0, -4.0, -2.0; 4687
-1.0, 3.0, -1.0; 3735

-3.0, 2.0, -2.0; -2.0, -4.0, -1.0
-2.0, 3.0, -1.0; 9237
-3.0, -4.0, -1.0; 8606
-2.0, -4.0, -1.0; 8121
-2.0, -3.0, -3.0; 5855
-1.0, 3.0, -1.0; 5835
-2.0, 3.0, 0.0; 4541
-3.0, 2.0, -2.0; 4503
-3.0, -3.0, -1.0; 3890

-3.0, 2.0, -3.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 38049
-2.0, 2.0, -3.0; 22858
-3.0, 2.0, -3.0; 11204
-3.0, -4.0, -1.0; 6464
