-2.0, 2.0, -3.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 385460
-2.0, 2.0, -3.0; 366369
-3.0, 2.0, -3.0; 46128
-3.0, -3.0, -2.0; 12595
-3.0, -4.0, -1.0; 5555
-3.0, 2.0, -2.0; 5272

-1.0, 3.0, -1.0; -3.0, -3.0, -1.0
-2.0, 2.0, -3.0; 4546
-2.0, -4.0, -1.0; 3995
-3.0, -3.0, -1.0; 3206

-2.0, 2.0, -3.0; -3.0, -4.0, -1.0
-3.0, -3.0, -1.0; 22157
-2.0, 2.0, -3.0; 9595
-3.0, 2.0, -2.0; 7962
-3.0, 2.0, -3.0; 5563

-2.0, 2.0, -3.0; -3.0, -3.0, -2.0
-2.0, 2.0, -3.0; 10328
-3.0, -3.0, -1.0; 9172

-3.0, 2.0, -3.0; -3.0, -4.0, -1.0
-3.0, -3.0, -1.0; 11393
-3.0, 2.0, -2.0; 5297
-2.0, 2.0, -3.0; 2776

-2.0, 3.0, 0.0; -3.0, -4.0, -1.0
-3.0, -3.0, -1.0; 2948
-2.0, -4.0, -1.0; 2877

-2.0, 3.0, 0.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 5100
-2.0, 2.0, -3.0; 3460
-2.0, -4.0, -1.0; 3406

-2.0, 3.0, -1.0; -2.0, -4.0, -1.0
-2.0, -4.0, -1.0; 4793
-2.0, 3.0, -1.0; 3668
-3.0, -3.0, -1.0; 3653

-3.0, 2.0, -1.0; -3.0, -3.0, -1.0
-2.0, 2.0, -3.0; 3256
-2.0, -4.0, -1.0; 3237

-2.0, 3.0, -1.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 11917
-2.0, 2.0, -3.0; 8126
-2.0, -4.0, -1.0; 7236
-2.0, 3.0, -1.0; 6396
-2.0, 3.0, 0.0; 4085
-3.0, -4.0, -1.0; 3632

-2.0, 2.0, -3.0; -2.0, -4.0, -1.0
-3.0, -3.0, -1.0; 11172
-3.0, -4.0, -1.0; 5599
-3.0, 2.0, -2.0; 5172
-2.0, 2.0, -3.0; 3870

-2.0, 3.0, -1.0; -3.0, -4.0, -1.0
-2.0, -4.0, -1.0; 2806

-3.0, 2.0, -2.0; -2.0, -3.0, -3.0
-3.0, -4.0, -1.0; 3406
-3.0, 2.0, -2.0; 3158

-3.0, 2.0, -2.0; -3.0, -3.0, -1.0
-2.0, 2.0, -3.0; 6801
-3.0, -4.0, -1.0; 6045
-2.0, -4.0, -1.0; 4578
-2.0, 3.0, -1.0; 4202
-3.0, -3.0, -1.0; 4058
-2.0, 3.0, 0.0; 2863
-3.0, 2.0, -3.0; 2773
-2.0, -3.0, -3.0; 2669

-2.0, 3.0, 0.0; -2.0, -4.0, -1.0
-3.0, -3.0, -1.0; 4402
-2.0, -4.0, -1.0; 3722
-2.0, 3.0, -1.0; 3346
-2.0, 3.0, 0.0; 2921
-3.0, -4.0, -1.0; 2744

-3.0, 2.0, -3.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 45519
-2.0, 2.0, -3.0; 35600
-3.0, 2.0, -3.0; 10331
-3.0, -4.0, -1.0; 4109
-3.0, 2.0, -2.0; 2675

-3.0, 2.0, -3.0; -2.0, -4.0, -1.0
-3.0, -3.0, -1.0; 4741

