-2.0, 2.0, -3.0; -3.0, -3.0, -1.0
-3.0, -3.0, -1.0; 11281
-2.0, 2.0, -3.0; 9027

-1.0, 3.0, -1.0; -3.0, -3.0, -1.0
-2.0, -4.0, -1.0; 4052

-1.0, 3.0, -1.0; -3.0, -4.0, -1.0
-2.0, -4.0, -1.0; 2627

-2.0, 3.0, -1.0; -3.0, -4.0, -1.0
-2.0, -4.0, -1.0; 5254
-2.0, 3.0, 0.0; 3722
-2.0, 3.0, -1.0; 2823

-2.0, 3.0, 0.0; -3.0, -4.0, -1.0
-2.0, -4.0, -1.0; 5949
-2.0, 3.0, 0.0; 5759
-3.0, -4.0, -1.0; 3938
-2.0, 3.0, -1.0; 3355
-3.0, -3.0, -1.0; 3242

-2.0, 3.0, 0.0; -3.0, -3.0, -1.0
-2.0, -4.0, -1.0; 5060
-2.0, 3.0, 0.0; 3626
-3.0, -3.0, -1.0; 2870

-2.0, 3.0, -1.0; -3.0, -3.0, -1.0
-2.0, -4.0, -1.0; 8108
-3.0, -3.0, -1.0; 5172
-2.0, 3.0, -1.0; 4711
-2.0, 3.0, 0.0; 4566
-3.0, -4.0, -1.0; 2593

-2.0, 3.0, -1.0; -2.0, -4.0, -1.0
-2.0, -4.0, -1.0; 12984
-2.0, 3.0, -1.0; 9848
-2.0, 3.0, 0.0; 6934
-3.0, -4.0, -1.0; 4772
-1.0, 3.0, -1.0; 4479
-3.0, -3.0, -1.0; 4186

-1.0, 3.0, -1.0; -2.0, -4.0, -1.0
-2.0, -4.0, -1.0; 5419
-2.0, 3.0, -1.0; 3771

-2.0, 3.0, 0.0; -2.0, -4.0, -1.0
-2.0, -4.0, -1.0; 9093
-2.0, 3.0, -1.0; 8174
-2.0, 3.0, 0.0; 7687
-3.0, -4.0, -1.0; 6501
-3.0, -3.0, -1.0; 5598
-1.0, 3.0, -1.0; 3228

